nest ID;call ID;dummy;enemy type;pres order;stage;date;PC;chick age;Philornis;time;approach;spp pres;ind pres;tot ind pres;ind alarm;tot ind alarm;parents alarm;parents alarm 1;parents pres;alarm calls;latency arrival;latency alarm;latency exit;latency exit pair;total time in;visibility;cloud cov;wind;peak freq;parents call initial;closest nb;number nb;number nest spp;sgf nb;nest height;hilo pattern
wfcrn57;wfcrn57-3;SGF;usurper;3;Feeding;24.02.2024;;7;16;11:14:00;2;0;0;2;0;1;1;1;2;6;540;142;;;300;100;0;1;7803.6329;1;;0;1;0;3.5;
wfcrn65;wfcrn65-1;Owl;predator;1;Building;24.02.2024;;;0;06:54:00;1.5;1;1;3;1;2;1;1;2;174;0;31;;;300;50;10;0;7786.4063;1;;0;1;0;4;
wfcrn65;wfcrn65-2;Ani;predator;2;Building;24.02.2024;;;0;07:52:00;3;0;0;2;0;0;0;0;2;0;1020;;97;150;150;50;20;2;;;;0;1;0;4;
wfcrn65;wfcrn65-3;Control;control;3;Building;24.02.2024;;;0;08:54:00;2;1;1;3;0;0;0;0;2;0;840;;50;;50;50;20;2;;;;0;1;0;4;
wfcrn65;wfcrn65-4;SGF;usurper;4;Building;24.02.2024;;;0;10:05:00;3;1;1;3;0;0;0;0;2;0;1800;;;;300;50;0;0;;;;0;1;0;4;
wfcrn80;wfcrn80-1;Owl;predator;1;Building;26.02.2024;;;;07:45:00;1;2;3;5;0;2;2;1;2;468;120;21;;;300;100;20;0;7187.023206;2;13.2;1;2;0;3;1
wfcrn80;wfcrn80-2;SGF;usurper;2;Building;26.02.2024;;;;08:57:00;2;0;0;2;0;0;0;0;2;0;1080;;100;100;100;100;20;0;;;13.2;1;2;0;3;
wfcrp05;wfcrp05-1;Ani;predator;1;Feeding;26.03.2024;;9;10;08:14:00;0.5;2;3;5;1;3;2;1;2;546;300;0;;;300;70;100;0;9431.5429;2;4.8;2;2;0;6;0
wfcrp05;wfcrp05-2;Owl;predator;2;Feeding;26.03.2024;;9;10;08:50:00;1.5;0;0;2;0;1;1;1;2;85;300;40;56;229;229;70;100;0;9509.0626;1;4.8;2;2;0;6;0
wfcrs13;wfcrs13-1;Owl;predator;1;Feeding;13.03.2024;;6;9;06:50:00;0.5;2;3;5;1;3;2;1;2;124;120;19;;;300;50;10;0;7691.6603;1;;0;1;0;4.5;0
wfcrs13;wfcrs13-2;Control;control;2;Feeding;13.03.2024;;6;9;08:24:00;2;0;0;1;;0;0;0;1;0;240;;;;300;50;10;0;;;;0;1;0;4.5;1
wfcrs13;wfcrs13-3;SGF;usurper;3;Feeding;13.03.2024;;6;9;09:57:00;1.5;0;0;1;0;1;1;1;1;108;180;1;;;300;50;100;0;7898.3789;1;;0;1;0;4.5;
wfcrs13;wfcrs13-4;Ani;predator;4;Feeding;13.03.2024;;6;9;10:40:00;1;2;2;4;0;2;2;1;2;292;60;2;;;300;50;100;1;7820.8593;1;;0;1;0;4.5;
wfcrt03;wfcrt03-1;Ani;predator;1;Feeding;23.02.2024;PC;8;0;10:53:00;1.5;2;2;4;1;3;2;1;2;562;180;5;;;300;70;30;0;5478.0468;1;13.6;2;1;0;4.5;1
